game,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,players_right_now
QUIJOTE: Quest for Glory,2022-03-31,2,10,1,11,71.55,0
Puzzle: Nature,2022-04-16,5,10,1,11,71.55,0
KONGEER,2022-05-31,2,10,1,11,71.55,0
One Last Memory - Reimagined,2022-06-10,2,10,1,11,71.55,0
Pitchfork Kingdom,2022-09-23,2,10,1,11,71.55,0
Mechabot Defender,2022-08-03,10,10,1,11,71.55,0
Dark Slime,2022-05-26,5,10,1,11,71.55,0
Crazy Zoo,2022-06-03,2,10,1,11,71.55,0
Bots Crusher Arena,2022-09-01,3,10,1,11,71.55,0
Magneko,2022-08-20,4,10,1,11,71.55,0
Pretty Girls Breakout! PLUS,2022-07-29,3,10,1,11,71.55,0
Climb and Fight: Mafia,2022-09-21,2,10,1,11,71.55,0
Stories school,2022-08-30,2,10,1,11,71.55,0
Spooky Mansion Manager,2022-09-01,4,10,1,11,71.55,0
The Lost Abyss,2022-09-03,3,10,1,11,71.55,0
PUSSY 6,2022-08-26,2,10,1,11,71.55,0
蛮王与女武神,2022-11-18,6,10,1,11,71.55,0
Guilty,2022-09-15,4,10,1,11,71.55,0
Up & Away,2022-11-16,2,10,1,11,71.55,0
Ace Pilot Europe,2022-10-24,4,10,1,11,71.55,0
SEARCH ALL - MICE,2022-11-08,3,10,1,11,71.55,0
Inner Call,2022-10-14,3,10,1,11,71.55,0
Puny BOB,2022-11-17,2,10,1,11,71.55,0
Trader of the Night,2022-10-17,15,10,1,11,71.55,0
CampNight,2022-11-05,3,10,1,11,71.55,0
Lust Colony,2022-12-22,14,10,1,11,71.55,1
Battle of the Lost Continent,2022-11-29,3,10,1,11,71.55,0
VR Jurassic Adventure HD,2022-12-16,1,10,1,11,71.55,0
Purple War,2022-10-21,28,84,23,107,71.54,0
Influence Inc.,2022-05-31,7,14,2,16,71.52,0
Black Lotus Motel,2022-04-20,6,14,2,16,71.52,0
DESKTOP MONKEY,2022-07-15,2,14,2,16,71.52,0
Big Booty Adventures,2022-01-05,7,14,2,16,71.52,0
POORLY drawn but HORNY,2022-03-28,3,14,2,16,71.52,0
Magnus Imago,2022-02-02,4,14,2,16,71.52,0
Ninja Noboken,2022-05-03,3,14,2,16,71.52,0
Tumblefire,2022-02-09,2,14,2,16,71.52,0
Deep Night Runner,2022-02-21,3,14,2,16,71.52,0
Lab Remnants,2022-04-15,3,14,2,16,71.52,0
Thread,2022-10-18,3,14,2,16,71.52,0
Witch Epoch,2022-06-13,3,14,2,16,71.52,0
8-Bit Farm,2022-10-31,25,14,2,16,71.52,0
Pixxxel,2022-08-24,3,14,2,16,71.52,0
City Construction Simulator,2022-10-28,2,14,2,16,71.52,0
MikotoRemake / 铭日记重制版,2022-11-27,3,14,2,16,71.52,0
Nanali in another world,2022-11-19,2,14,2,16,71.52,0
Power Driver,2022-11-21,2,14,2,16,71.52,0
Mist Legacy,2022-09-13,1065,881,303,1184,71.51,110
Yaengard,2022-05-05,101,90,25,115,71.5,0
World Seed,2022-05-17,409,236,74,310,71.49,2
2076 Midway Multiverse,2022-02-03,5,32,7,39,71.49,0
Ship Simulator Realistic,2022-01-11,7,32,7,39,71.49,2
RFVR,2022-07-18,8,32,7,39,71.49,0
Izmir: An Independence Simulator,2022-04-29,6,32,7,39,71.49,1
RO-BOUNCE,2022-05-27,6,32,7,39,71.49,0
Internet Cafe Simulator 2,2022-01-07,3527,6038,2233,8271,71.48,151
主宰飞仙,2022-08-19,54,96,27,123,71.48,2
Archipelago,2022-01-14,16,25,5,30,71.48,0
Archipelago,2022-01-14,16,25,5,30,71.48,0
Archipelago,2016-08-18,3422,39,17,56,63.83,0
Archipelago,2016-08-18,3422,39,17,56,63.83,0
Dungeon Reels Tactics,2022-05-02,22,25,5,30,71.48,0
Desert Revenant,2022-09-22,7,25,5,30,71.48,0
Sinner 97,2022-11-22,5,25,5,30,71.48,0
In The Darkness,2022-09-13,9,25,5,30,71.48,0
Agarta,2022-10-21,35,230,72,302,71.47,0
Monuments Flipper,2022-11-14,222,111,32,143,71.43,10
Destroyer: The U-Boat Hunter,2022-09-28,325,287,92,379,71.42,5
Beholgar,2022-02-04,14,123,36,159,71.42,6
Passed Out: Prologue,2022-10-10,220,301,97,398,71.4,3
Hacker Simulator: Free Trial,2022-02-15,331,298,96,394,71.4,6
Forever To You!,2022-07-26,29,58,15,73,71.39,0
RetroDrift: Retrowave Online Road,2022-01-20,9,58,15,73,71.39,0
BrainBread 2,2022-03-09,1123,3571,1309,4880,71.38,19
星塔星夜MONOBEHEVO,2022-05-31,11,45,11,56,71.37,0
龙魂大冒险,2022-06-10,194,260,83,343,71.35,1
A Hero's Rest,2022-10-12,78,61,16,77,71.35,1
BYTE FYTE (MULTIPLAYER),2022-11-19,9,35,8,43,71.35,0
War Robots: Frontiers,2022-11-24,100,158,48,206,71.34,34
Angel's Awakening,2022-08-26,89,89,25,114,71.34,4
Refund Me If You Can,2022-07-22,19,92,26,118,71.33,0
Virtual Aquarium - Overlay Desktop Game,2022-04-02,83,95,27,122,71.32,3
Desktopia: A Desktop Village Simulator,2022-08-05,247,134,40,174,71.31,2
远征契约,2022-10-21,32,64,17,81,71.31,3
The Backrooms,2022-10-29,8,48,12,60,71.3,2
The Backrooms,2022-10-29,8,48,12,60,71.3,0
The Backrooms,2019-08-01,2,10,37,47,30.23,2
The Backrooms,2019-08-01,2,10,37,47,30.23,0
Lost Ark,2022-02-11,1325305,137424,53849,191273,71.29,"76,246"
Who Pressed Mute on Uncle Marcus?,2022-03-18,60,347,114,461,71.29,2
Dwerve,2022-05-31,610,389,129,518,71.27,0
World Fighting Soccer 22,2022-08-30,9,28,6,34,71.26,0
Trigo,2022-02-18,7,28,6,34,71.26,0
The Last Secret,2022-08-30,7,28,6,34,71.26,0
Crocodile Transformator,2022-10-23,3,28,6,34,71.26,0
Peepo Island,2022-07-18,854,163,50,213,71.25,2
Harlow,2022-03-14,4,21,4,25,71.25,0
Pets and Girls,2022-02-17,3,21,4,25,71.25,0
Grid Slayer,2022-02-02,7,21,4,25,71.25,0
Deadly Infestation,2022-02-14,3,21,4,25,71.25,0
剑冢 Swords Tomb,2022-05-06,22,21,4,25,71.25,0
Chords Enchanter,2022-06-17,5,21,4,25,71.25,0
Goat's Tale 2,2022-11-09,100,21,4,25,71.25,0
Robot Resistors,2022-10-22,8,21,4,25,71.25,0
ACHIEVEMENTS CITY,2022-09-12,3,21,4,25,71.25,0
姬恋~缚羽的欠片 纯净中文版,2022-11-14,9,21,4,25,71.25,0
Rhythm Journey,2022-04-17,20,73,20,93,71.24,0
Hentai War,2022-12-09,5,38,9,47,71.23,0
Pinch of Fighting Girls,2022-08-09,19,38,9,47,71.23,1
Hentai Bodysuit,2022-10-28,7,38,9,47,71.23,0
SILT,2022-06-01,142,255,82,337,71.22,6
Knights of the Chalice 2,2022-03-25,51,76,21,97,71.22,1
AfterHours,2022-02-18,93,306,100,406,71.21,2
Bombagun,2022-01-26,36,79,22,101,71.21,1
Tower of Fantasy,2022-10-20,7210,4779,1785,6564,71.19,"2,892"
Esse Proxy,2022-07-11,41,85,24,109,71.18,0
Hazel Sky,2022-07-20,49,115,34,149,71.17,1
Deadness,2022-02-22,11,103,30,133,71.16,0
Argentum 20,2022-04-29,500,271,88,359,71.15,57
There Is No Light,2022-09-19,612,366,122,488,71.12,4
ReFactory,2022-04-08,54,60,16,76,71.12,1
BITGUN,2022-04-29,4,31,7,38,71.1,0
The Pizza Courier,2022-09-23,6,31,7,38,71.1,0
AOI,2022-12-15,14,31,7,38,71.1,0
Train Life - A Railway Simulator,2022-08-25,407,879,310,1189,71.09,43
Hot Lap League,2022-08-23,21,63,17,80,71.09,3
Eclipse,2022-09-27,9,132,40,172,71.08,0
Endless waves survival,2022-06-14,132,132,40,172,71.08,0
Soul Scathe,2022-02-18,10,44,11,55,71.07,0
Three Kingdom: The Journey,2022-01-07,21,44,11,55,71.07,1
Void Marauders,2022-03-29,23,44,11,55,71.07,1
The Hentai Memory,2022-03-09,60,44,11,55,71.07,40
Brave survivors,2022-09-30,15,44,11,55,71.07,0
Haisonmeguri,2022-07-16,81,69,19,88,71.05,0
Dungeons of Edera,2022-06-16,326,690,241,931,71.04,15
谜语女孩,2022-06-17,32,81,23,104,71.02,0
刻印战记：冰冻之剑 RE,2022-09-29,94,99,29,128,71.01,0
Dark Quest 3,2022-05-04,84,93,27,120,71.01,2
Kamikaze Kommittee Ouka 2,2022-02-05,163,90,26,116,71.01,0
Pro Basketball Manager 2023,2022-11-10,83,90,26,116,71.01,34
Mage Rage,2022-03-22,3,17,3,20,71.0,0
Queenchantment,2022-03-04,9,17,3,20,71.0,0
Fragmented Memories,2022-05-09,7,17,3,20,71.0,0
Late photographer 2,2022-02-03,9,17,3,20,71.0,0
LIP! Lewd Idol Project Vol. 2,2022-12-15,19,17,3,20,71.0,1
Banana Hunter,2022-03-02,3,17,3,20,71.0,0
Digital Diamond Baseball V10,2022-03-31,26,17,3,20,71.0,6
Emorrior,2022-10-01,6,17,3,20,71.0,0
Odd One Out,2022-06-26,5,17,3,20,71.0,1
69 Penny Hot,2022-08-08,5,17,3,20,71.0,0
Death in the Night,2022-11-21,4,17,3,20,71.0,0
Reilla ~Sweets Adventure~,2022-10-04,5,17,3,20,71.0,0
Port Cranes : Container Age,2022-10-21,13,17,3,20,71.0,0
Police Radar,2022-09-02,2,17,3,20,71.0,0
伏魔天师,2022-11-04,10,17,3,20,71.0,0
Contrast & Girls,2022-08-25,2,17,3,20,71.0,0
Geometric Sniper - Z,2022-12-19,4,24,5,29,70.99,0
The Tribulation Entanglement,2022-02-06,3,24,5,29,70.99,0
Anime Armpits,2022-05-25,3,24,5,29,70.99,0
Meat & Greed,2022-06-07,5,24,5,29,70.99,0
Noclipped,2022-10-04,11,24,5,29,70.99,0
ToS Gamepad Tester,2022-08-27,8,24,5,29,70.99,0
Funeral,2022-11-23,3,24,5,29,70.99,0
Gladius,2022-10-29,14,186,59,245,70.98,0
River City Saga: Three Kingdoms,2022-07-20,436,137,42,179,70.98,4
Swarm the City,2022-06-16,131,137,42,179,70.98,2
NOBUNAGA'S AMBITION: Awakening,2022-07-21,11783,940,335,1275,70.97,376
Magicians And Monsters,2022-08-29,26,50,13,63,70.97,1
房地产大亨,2022-08-05,1113,307,102,409,70.96,2
大富翁少女,2022-01-11,158,217,70,287,70.95,0
百年王国,2022-02-03,72,53,14,67,70.93,0
Her Name Was Fire,2022-10-11,162,171,54,225,70.91,0
Miner Ultra Adventures 2,2022-05-12,34,275,91,366,70.89,0
TombStar,2022-07-20,64,59,16,75,70.88,0
Re:Turn 2 - Runaway,2022-01-28,10,37,9,46,70.88,0
The Lord of the Parties,2022-06-30,34,37,9,46,70.88,0
Crown of Pain,2022-02-15,21,37,9,46,70.88,0
无双剑士的后宫生活,2022-06-18,290,136,42,178,70.86,1
No man`s Island Prologue,2022-08-01,115,65,18,83,70.85,1
F1® Manager 2022,2022-08-30,25575,6784,2605,9389,70.84,"3,227"
Dinosaur Fossil Hunter,2022-05-04,855,461,159,620,70.84,21
Cowboy Life Simulator: Prologue,2022-01-06,91,153,48,201,70.84,3
The Gametrekking Omnibus,2022-12-05,2,5,0,5,70.84,0
SKYRAID,2022-09-07,9,5,0,5,70.84,0
Be Vigilant!,2022-01-24,13,5,0,5,70.84,0
N-GON,2022-10-11,2,5,0,5,70.84,0
Beauty Paradise,2022-05-20,11,5,0,5,70.84,0
Dofense,2022-05-16,4,5,0,5,70.84,0
Music_is_the_Language,2022-05-18,1,5,0,5,70.84,0
Beyond Hope,2022-11-17,4,5,0,5,70.84,0
Push Blox,2022-06-02,3,5,0,5,70.84,0
Presidential Running Games,2022-01-21,2,5,0,5,70.84,0
GreedyCorgi,2022-01-21,3,5,0,5,70.84,0
Death Cube,2022-05-12,2,5,0,5,70.84,0
Personal Rocket,2022-01-31,2,5,0,5,70.84,0
The Dream of Shadowlands Episode 2,2022-06-23,3,5,0,5,70.84,0
Stream Toys by Zokya,2022-07-01,4,5,0,5,70.84,0
Re:Kuroi,2022-01-06,4,5,0,5,70.84,0
Pandemic Pandemonium,2022-01-21,1,5,0,5,70.84,0
Abridge,2022-10-14,3,5,0,5,70.84,0
ZONERS,2022-08-02,2,5,0,5,70.84,0
Endless Thief: a fluffy stealth adventure,2022-05-26,2,5,0,5,70.84,0
Panmorphia: Awakened,2022-04-28,4,5,0,5,70.84,0
DROPSHIP,2022-11-30,2,5,0,5,70.84,1
Poulet Poulet,2022-07-28,3,5,0,5,70.84,0
James Peris 2: The fountain of eternal drunkenness - UNCUT AND UNCENSORED,2022-11-23,3,5,0,5,70.84,0
Mrs. Fantastic's Freaky Figurine Shop,2022-06-24,4,5,0,5,70.84,0
Battery-ouT,2022-03-13,3,5,0,5,70.84,0
My Story,2022-01-08,6,5,0,5,70.84,0
Barn Finders VR,2022-06-02,5,5,0,5,70.84,0
NeverDeath,2022-04-25,2,5,0,5,70.84,0
Volcanon,2022-03-31,6,5,0,5,70.84,0
Daydream,2022-06-02,7,5,0,5,70.84,0
Daydream,2022-06-02,7,5,0,5,70.84,0
Daydream,2018-12-26,1,0,1,1,40.58,0
Daydream,2018-12-26,1,0,1,1,40.58,0
Strings of Divinity | The Spell Plague,2022-01-27,3,5,0,5,70.84,0
Pirated Code: Admin Edition,2022-11-03,3,5,0,5,70.84,0
Ari's Journey,2022-03-03,2,5,0,5,70.84,0
Captain Diarrhea and The Shartening,2022-06-22,1,5,0,5,70.84,0
Ultimaze,2022-06-28,2,5,0,5,70.84,0
I Am 1,2022-06-17,3,5,0,5,70.84,0
SquareMan,2022-02-05,4,5,0,5,70.84,0
Stop the Saturnians!,2022-02-18,3,5,0,5,70.84,0
Book Hunter,2022-02-04,2,5,0,5,70.84,0
Argonauts Agency: Missing Daughter,2022-01-17,8,5,0,5,70.84,0
Fuchian Chronicles,2022-01-06,3,5,0,5,70.84,0
Ambition Record,2022-02-04,9,5,0,5,70.84,0
Nora: The Wannabe Alchemist,2022-05-26,5,5,0,5,70.84,0
Spartan,2022-10-17,9,5,0,5,70.84,6
Spartan,2022-10-17,9,5,0,5,70.84,0
Spartan,2017-10-02,3,17,4,21,68.75,6
Spartan,2017-10-02,3,17,4,21,68.75,0
Blankiball: The Drinking Game,2022-09-14,4,5,0,5,70.84,0
How to Fool a Liar King Remastered,2022-04-07,4,5,0,5,70.84,0
Retro TV Game Collection,2022-02-21,2,5,0,5,70.84,0
HOSTLIGHT,2022-07-22,3,5,0,5,70.84,0
Jester Street : Card-Counting Trainer,2022-01-22,2,5,0,5,70.84,0
Perfect Balance,2022-01-01,48,5,0,5,70.84,0
Breaking Newton,2022-03-02,1,5,0,5,70.84,0
Quest for Cathay Kingdom,2022-03-18,2,5,0,5,70.84,0
Run Run Piñata,2022-01-30,5,5,0,5,70.84,1
Bunny Box Breakout,2022-10-26,1,5,0,5,70.84,0
Safe and Sound - Indie Game,2022-02-25,2,5,0,5,70.84,0
Jules,2022-01-21,2,5,0,5,70.84,0
Omi Oh My AI,2022-09-02,4,5,0,5,70.84,0
Orbital Mechanics,2022-05-06,2,5,0,5,70.84,0
欢迎回家-Welcome Home,2022-02-15,5,5,0,5,70.84,0
Elven Warmaiden,2022-02-03,2,5,0,5,70.84,0
ELEVATED,2022-04-14,22,5,0,5,70.84,0
CellSar,2022-04-26,3,5,0,5,70.84,0
Cute Snake,2022-03-15,3,5,0,5,70.84,0
Juno 06,2022-11-04,3,5,0,5,70.84,0
Ploc,2022-02-17,2,5,0,5,70.84,0
Love on Beach,2022-03-03,3,5,0,5,70.84,0
Everplast,2022-02-24,3,5,0,5,70.84,0
Undeads vs Humans,2022-03-01,2,5,0,5,70.84,0
DuolBots,2022-08-31,5,5,0,5,70.84,0
Reversilly,2022-04-14,8,5,0,5,70.84,0
12 Labours of Hercules XIV: Message in a Bottle,2022-10-24,28,5,0,5,70.84,3
Path Of Destruction,2022-08-13,6,5,0,5,70.84,0
Mythic Defender,2022-04-23,2,5,0,5,70.84,0
Calmie Dots,2022-05-16,2,5,0,5,70.84,0
Quoin,2022-10-03,2,5,0,5,70.84,0
Zap Dem Rats,2022-03-30,2,5,0,5,70.84,0
Fruit Basket TV,2022-06-16,7,5,0,5,70.84,0
Light The Lamp Hockey,2022-11-15,2,5,0,5,70.84,0
OUTLANDER,2022-04-04,1,5,0,5,70.84,0
Down n' Up,2022-07-07,2,5,0,5,70.84,0
STAR MATH: Interstellar Rogue 2,2022-07-21,4,5,0,5,70.84,0
Neon Flash II,2022-04-11,3,5,0,5,70.84,0
Lovely Moments: Dad and daughter,2022-07-09,2,5,0,5,70.84,0
Paranormal Simulator,2022-05-12,3,5,0,5,70.84,0
Pirates - Digital Strategy Game,2022-12-02,7,5,0,5,70.84,0
The Last Man,2022-05-20,3,5,0,5,70.84,0
Beat The Clock,2022-06-01,3,5,0,5,70.84,0
Project Nautilus,2022-05-06,3,5,0,5,70.84,0
Dash Shooters,2022-08-01,1,5,0,5,70.84,0
Arsilon,2022-05-26,2,5,0,5,70.84,0
Edge Run,2022-04-25,2,5,0,5,70.84,0
Doggo Estates,2022-12-01,4,5,0,5,70.84,0
Sisters_Possession2,2022-05-17,5,5,0,5,70.84,0
HopDodge,2022-06-01,5,5,0,5,70.84,0
Eshe's Wish Adventure,2022-05-09,3,5,0,5,70.84,0
Running Over Zombies,2022-07-06,5,5,0,5,70.84,0
Chronicle of Forgotten Times: Pawn of the Gods,2022-06-02,2,5,0,5,70.84,0
CARROT: Pancakes and Waffles,2022-08-27,2,5,0,5,70.84,0
Metal World: Street Scraps,2022-05-20,2,5,0,5,70.84,0
Fight For It,2022-08-03,4,5,0,5,70.84,0
Blitz in the Paper Kingdom,2022-06-17,3,5,0,5,70.84,0
NanoHive,2022-09-30,4,5,0,5,70.84,0
Enter the Cum™: an Erotic Porn Sexual Pleasure!,2022-06-10,1,5,0,5,70.84,0
FunnyPizzaLand 2,2022-10-08,2,5,0,5,70.84,0
BOOM!,2022-06-03,2,5,0,5,70.84,0
Wizcave,2022-08-19,1,5,0,5,70.84,0
Nade Nade Onna no Ko 7: Imprisonment Sex Story,2022-09-09,5,5,0,5,70.84,0
Hide And Seek Scramble!,2022-06-14,7,5,0,5,70.84,0
Ye Olde Cribbage Club,2022-06-15,3,5,0,5,70.84,0
Niravasi,2022-07-06,2,5,0,5,70.84,0
L-Racers,2022-07-03,2,5,0,5,70.84,0
KaBoom!,2022-08-22,1,5,0,5,70.84,0
Junkyard War,2022-07-01,2,5,0,5,70.84,0
Vain Ascendance,2022-08-05,3,5,0,5,70.84,0
Tater Spud,2022-07-29,2,5,0,5,70.84,0
Streamers' Secret Life,2022-11-16,2,5,0,5,70.84,0
Harry Is A Porter,2022-08-13,2,5,0,5,70.84,0
Acanthoceras,2022-07-21,2,5,0,5,70.84,0
FREM Sprite32!,2022-10-17,4,5,0,5,70.84,0
传颂的种族 The Celebrated Race,2022-07-12,3,5,0,5,70.84,0
Cat Dungeon,2022-08-05,3,5,0,5,70.84,0
DodgeKing,2022-10-07,2,5,0,5,70.84,0
Try Again,2022-10-07,2,5,0,5,70.84,0
Tap the Blocks,2022-09-22,3,5,0,5,70.84,0
Klaystar,2022-09-17,6,5,0,5,70.84,0
Apollo's Adventure,2022-08-09,6,5,0,5,70.84,0
STARR RINGER,2022-10-07,3,5,0,5,70.84,0
Redhot Rabbit,2022-08-16,2,5,0,5,70.84,0
EvoLife,2022-09-16,6,5,0,5,70.84,1
Little Hellions,2022-10-31,3,5,0,5,70.84,0
Moving Jigsaw Puzzles,2022-11-22,2,5,0,5,70.84,0
进入后室Get into Backrooms,2022-08-24,2,5,0,5,70.84,0
Bogey Brian,2022-09-30,4,5,0,5,70.84,0
Furry Hentai Tangram,2022-11-25,2,5,0,5,70.84,0
Square Off,2022-10-01,4,5,0,5,70.84,0
Double Trouble,2022-09-13,3,5,0,5,70.84,0
DeerHunterFan.com TV - The Season,2022-10-07,3,5,0,5,70.84,0
路地を曲がれば～海峡の故郷～,2022-10-14,2,5,0,5,70.84,0
SGS Okinawa,2022-11-21,4,5,0,5,70.84,1
Decopins,2022-11-04,4,5,0,5,70.84,0
Don't Hide,2022-09-13,2,5,0,5,70.84,0
荆轲新传（重制版）,2022-10-01,10,5,0,5,70.84,0
牌师,2022-09-26,7,5,0,5,70.84,0
Milita Aventuro,2022-09-29,3,5,0,5,70.84,0
Planet Barren Objective,2022-09-26,2,5,0,5,70.84,0
Hidden Object Vacation,2022-09-19,6,5,0,5,70.84,0
Strength & Virtue: Lord of Midchester,2022-12-16,3,5,0,5,70.84,0
Horror Hotel,2022-10-23,1,5,0,5,70.84,0
Crush Penguin,2022-10-15,1,5,0,5,70.84,0
What They Don't Sea,2022-11-01,3,5,0,5,70.84,0
Duck Race,2022-11-12,2,5,0,5,70.84,1
Super Jumpy Ball,2022-11-11,3,5,0,5,70.84,0
I Love Finding Birds,2022-12-19,5,5,0,5,70.84,0
Orbtangle,2022-10-28,3,5,0,5,70.84,0
Frog In the Well,2022-10-18,2,5,0,5,70.84,0
A Potion For Chamomile,2022-10-21,1,5,0,5,70.84,0
Banana Quest,2022-10-23,2,5,0,5,70.84,0
Missing Pictures: Tsai Ming-Lang,2022-12-01,1,5,0,5,70.84,0
Missing Pictures : Abel Ferrara,2022-12-02,2,5,0,5,70.84,0
CAMPING,2022-11-03,2,5,0,5,70.84,0
Princess Dating Sim,2022-12-05,2,5,0,5,70.84,0
Planet Breakout 2,2022-12-13,3,5,0,5,70.84,0
circloO,2022-11-14,3,5,0,5,70.84,1
リフトピア　もうひとのせ！,2022-11-29,1,5,0,5,70.84,0
My Boss' Wife is My Ex ~Reluctantly Drowning in Sex Deals After Hours~,2022-12-20,3,5,0,5,70.84,0
Obscene Medical Records of a Married Nurse,2022-12-20,1,5,0,5,70.84,0
Jump Dash Soar,2022-12-09,4,5,0,5,70.84,0
Robbie's Tale,2022-12-07,4,5,0,5,70.84,0
CodingPack,2022-12-25,2,5,0,5,70.84,0
Lost Abroad Café,2022-12-31,3,5,0,5,70.84,0
ThanksKilling Day,2022-12-31,2,5,0,5,70.84,0
Grievous Survivors,2022-12-21,3,5,0,5,70.84,0
ResttW,2022-12-25,2,5,0,5,70.84,0
GRID Legends,2022-02-24,455,1171,425,1596,70.83,122
PunjiVR,2022-07-15,6,40,10,50,70.81,0
Rising Mist,2022-02-24,10,27,6,33,70.81,0
Firelight Fantasy: Vengeance,2022-05-06,7,27,6,33,70.81,0
PIXELS: Digital Creatures,2022-07-11,10,27,6,33,70.81,0
Bouldeurdache,2022-02-05,4,27,6,33,70.81,0
Naxos,2022-05-09,6,27,6,33,70.81,0
Gamebook Edgar A. Poe: The Oval Portrait,2022-06-23,5,27,6,33,70.81,0
Microbes and Machines,2022-09-03,11,27,6,33,70.81,0
Super Weapon Master,2022-08-22,8,27,6,33,70.81,0
Afterglitch,2022-12-09,4,13,2,15,70.75,0
get REKTorized,2022-07-07,7,13,2,15,70.75,0
Hirilun,2022-03-14,4,13,2,15,70.75,0
Hope's Journey: A Therapeutic Experience,2022-04-15,2,13,2,15,70.75,0
Camp Palut,2022-06-15,5,13,2,15,70.75,0
BangBang PewPew,2022-04-08,4,13,2,15,70.75,0
VRkanoid - Brick Breaking Game,2022-03-16,2,13,2,15,70.75,0
Road Cards,2022-01-23,3,13,2,15,70.75,0
Alchemist of War,2022-01-17,3,13,2,15,70.75,0
Total CATastrophe,2022-02-06,4,13,2,15,70.75,0
Timberman VR,2022-08-16,5,13,2,15,70.75,0
Rescue Team: Heist of the Century,2022-03-30,23,13,2,15,70.75,2
Pixel Trouble,2022-03-02,4,13,2,15,70.75,0
Roxy Raccoon's Bowling Bash,2022-08-23,2,13,2,15,70.75,0
Pixel Pirate,2022-03-18,3,13,2,15,70.75,0
Tales of Fire,2022-06-17,3,13,2,15,70.75,0
The Kobolds Left Behind,2022-07-07,2,13,2,15,70.75,0
Shadelight,2022-09-23,3,13,2,15,70.75,0
For What Will Come,2022-10-29,5,13,2,15,70.75,0
New Tanks,2022-08-08,3,13,2,15,70.75,0
终末方舟 序,2022-07-19,5,13,2,15,70.75,0
Harpoon,2022-07-23,3,13,2,15,70.75,0
Die O' Clock,2022-11-29,7,13,2,15,70.75,0
Robot Tormod,2022-12-20,2,13,2,15,70.75,0
Hook&Loop,2022-12-01,3,13,2,15,70.75,0
Nick Bounty - The Goat in the Grey Fedora: Remastered,2022-10-03,6,13,2,15,70.75,0
Let's Park Backyard Edition,2022-09-05,2,13,2,15,70.75,0
Actua Soccer 2,2022-10-10,6,13,2,15,70.75,0
Lion King Simulator,2022-10-19,3,13,2,15,70.75,0
ISO,2022-11-28,5,13,2,15,70.75,0
PUB FASCINATION,2022-11-22,5,13,2,15,70.75,0
Geolosys,2022-11-19,2,13,2,15,70.75,0
Jewel Match Winter Wonderland 2 Collector's Edition,2022-12-15,23,13,2,15,70.75,6
Metal Mind,2022-04-25,343,286,96,382,70.72,0
Bard Idle,2022-09-22,1012,275,92,367,70.72,214
VR NSFW,2022-03-17,7,100,30,130,70.72,0
Levitation Simulator,2022-01-27,27,46,12,58,70.72,0
Idle TD: Heroes vs Zombies,2022-01-25,122,97,29,126,70.71,10
无二解药,2022-06-22,6,30,7,37,70.68,0
Logicality,2022-06-14,9,30,7,37,70.68,0
Mutant Meltdown,2022-09-09,18,30,7,37,70.68,0
Alchemist Tris's Desire,2022-10-27,19,30,7,37,70.68,0
The Lost and The Wicked,2022-03-24,3,20,4,24,70.68,0
Firekeep,2022-04-19,4,20,4,24,70.68,0
Coins Invaders,2022-02-15,3,20,4,24,70.68,0
PAW Patrol: Grand Prix,2022-09-30,21,20,4,24,70.68,3
Dead No Head,2022-01-20,3,20,4,24,70.68,0
Dead End Aegis: Gaiden,2022-01-02,8,20,4,24,70.68,0
EXIT - The Curse of Ophir,2022-06-29,13,20,4,24,70.68,2
CARDMON,2022-05-19,7,20,4,24,70.68,0
CATAIRE,2022-09-23,6,20,4,24,70.68,0
Winning Post 9 2022,2022-04-14,4727,85,25,110,70.67,225
WoMen in Science,2022-08-15,27,52,14,66,70.67,0
The Monster Within,2022-10-22,19,52,14,66,70.67,0
My Yandere is a Futanari,2022-04-04,5,52,14,66,70.67,0
Circus Electrique,2022-09-06,280,157,50,207,70.66,7
ORX,2022-08-30,925,364,125,489,70.65,16
SOL CRESTA,2022-02-22,44,61,17,78,70.64,0
Beasts of Burden,2022-04-06,31,61,17,78,70.64,0
Indecent Details - Find the Difference,2022-04-05,43,111,34,145,70.63,1
Fueled Up,2022-10-13,207,67,19,86,70.63,0
Child of Lothian,2022-06-16,31,67,19,86,70.63,4
KAREN SEES,2022-02-04,3,33,8,41,70.59,0
MetälBörn,2022-07-21,9,33,8,41,70.59,1
Succubus Girl Story,2022-03-04,12,102,31,133,70.58,0
WTC : Relentless Protagonist,2022-09-28,2,9,1,10,70.57,0
Social Services of the Doomed,2022-06-23,24,9,1,10,70.57,0
Crazy Chicken Xtreme,2022-08-22,4,9,1,10,70.57,0
Frisbros,2022-03-18,4,9,1,10,70.57,0
Venice 2089 ,2022-10-14,9,9,1,10,70.57,0
HeadCount,2022-04-18,2,9,1,10,70.57,0
Ortheo,2022-05-21,2,9,1,10,70.57,0
Being Loved,2022-02-17,2,9,1,10,70.57,0
The Evolving World: Catalyst Wake,2022-02-10,3,9,1,10,70.57,0
Papertris,2022-03-01,6,9,1,10,70.57,0
Mayflower Reflections,2022-02-24,12,9,1,10,70.57,0
Froggo Swing 'n Grapple,2022-11-30,3,9,1,10,70.57,0
Professor of Magical Studies,2022-12-08,40,9,1,10,70.57,1
Tribal.Games,2022-04-14,7,9,1,10,70.57,0
