game,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,players_right_now
Mage Kanade's Futanari Dungeon Quest,2023-03-14,152,140,13,153,82.39,14
Limbus Company,2023-02-26,30225,7546,1376,8922,82.34,"8,114"
Beer Factory - Prologue,2023-03-13,1279,665,96,761,82.31,61
HELLCARD: Prologue,2023-01-30,482,282,34,316,82.31,17
Dear Monster,2023-01-17,102,51,2,53,82.31,1
Bumblebee - Little Bee Adventure,2023-02-10,6,51,2,53,82.31,0
Scorchlands,2023-02-07,24,41,1,42,82.27,1
Eggcelerate! to the Tropics,2023-03-30,15,41,1,42,82.27,0
Tell Some Story: Foz,2023-02-02,9,30,0,30,82.22,0
Gore Storm,2023-03-10,15,30,0,30,82.22,0
TerraScape,2023-04-05,353,137,13,150,82.21,122
TET,2023-01-31,5,59,3,62,82.19,0
Unholy Angel,2023-01-16,11,50,2,52,82.19,0
Pets Hotel: Prologue,2023-01-25,197,239,28,267,82.17,13
Brave's Rage,2023-02-01,160,205,23,228,82.14,10
Missing Hiker,2023-02-14,169,954,148,1102,82.13,10
NSFW Solitaire,2023-01-27,70,114,10,124,82.13,44
Yihongyuan,2023-03-02,416,496,70,566,82.05,12
Akka Arrh,2023-02-21,15,29,0,29,82.04,0
Rustled Pete,2023-02-28,8,29,0,29,82.04,0
ToriDori,2023-04-06,13,29,0,29,82.04,2
柒愿传说,2023-04-01,8,29,0,29,82.04,0
天外武林 (Traveler of Wuxia),2023-01-06,5874,2093,359,2452,81.99,196
The Sea-demon,2023-01-06,75,168,18,186,81.97,1
Catch Me!,2023-01-24,24,39,1,40,81.97,0
ハッピーライヴ ショウアップ！,2023-03-10,23,39,1,40,81.97,3
The Secret of Darkwoods,2023-03-28,21,39,1,40,81.97,2
Sunrider 4: The Captain's Return,2023-02-08,199,126,12,138,81.95,14
Treason,2023-01-31,226,383,52,435,81.94,16
The Black Grimoire: Cursebreaker,2023-03-10,137,89,7,96,81.93,3
inhabit,2023-01-27,7,28,0,28,81.86,0
DEFECTIVE,2023-02-03,4,28,0,28,81.86,1
DEFECTIVE,2023-02-03,4,28,0,28,81.86,0
DEFECTIVE,2017-09-05,3,20,29,49,43.64,1
DEFECTIVE,2017-09-05,3,20,29,49,43.64,0
Tactical Command,2023-01-27,11,28,0,28,81.86,0
Jury,2023-04-02,60,28,0,28,81.86,17
Dusk of the Cage,2023-02-21,7,28,0,28,81.86,0
Smalland: Survive the Wilds,2023-03-29,12741,2200,384,2584,81.84,"3,103"
Sons Of The Forest,2023-02-23,414257,99696,20716,120412,81.83,"20,709"
Outlanders,2023-03-07,147,95,8,103,81.8,63
Wretched Depths,2023-03-24,20,64,4,68,81.78,3
File Destined,2023-02-25,32,171,19,190,81.77,3
HELLCARD,2023-02-16,3539,916,147,1063,81.73,503
Reshaping Mars,2023-03-30,642,568,85,653,81.73,337
你农我农-Need Know What Know,2023-02-05,84,94,8,102,81.71,4
Lunar Mirror:The Pavilion of Desire,2023-03-04,1331,605,92,697,81.67,52
One Night At Barneys 3,2023-01-05,24,86,7,93,81.66,0
Joshua's Legs,2023-01-18,5,27,0,27,81.66,0
QUALIA ~The Path of Promise~,2023-02-03,12,27,0,27,81.66,0
Joe Wander,2023-02-03,12,27,0,27,81.66,2
不可思异世界,2023-01-17,10,27,0,27,81.66,0
Luckily My Arm Is A Shotgun,2023-02-22,3,27,0,27,81.66,0
Hydrofoil Generation,2023-02-16,39,37,1,38,81.65,3
Ballistic Zen,2023-01-25,9,37,1,38,81.65,0
Wall World,2023-04-05,4403,924,150,1074,81.63,"4,006"
Wander Hero,2023-01-12,851,499,74,573,81.61,74
Terra Nil,2023-03-28,5916,1732,305,2037,81.49,687
